STRUCTURE_NUMBER_008,LOCATION_009,_lat,_lon,YEAR_BUILT_027,N_i,p_tornado,V_age,V_des,Risk_tornado,Risk_Rank,"coordinates (lat, lon)",Risk_Level,Street_View_URL,Risk_Explanation
230470C00225001,'0.10 MI S  OF SH 6',32.11398889,-98.532625,1920,1,0.016259801,3.0,1.0,0.048779404,1524,"32.1139888888888, -98.532625",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.113989,-98.532625",
142270B01381002,'0.9 MI N OF MLK BLVD',30.29253333,-97.73653056,1946,2,0.032255222,2.257142857,0.666666667,0.048536429,1532,"30.2925333333333, -97.7365305555555",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.292533,-97.736531",
131210008904166.00,'0.51 Mi S of FM 710',29.04558333,-96.52252222,1972,3,0.04799056,1.514285714,0.666666667,0.048447613,1533,"29.0455833333333, -96.5225222222222",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.045583,-96.522522",
131210008903106.00,'1.25 MI S OF FM 822',28.96945833,-96.67076944,1972,3,0.04799056,1.514285714,0.666666667,0.048447613,1533,"28.9694583333333, -96.6707694444444",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.969458,-96.670769",
131210008903107.00,'1.25 MI S OF FM 822',28.969325,-96.67050833,1972,3,0.04799056,1.514285714,0.666666667,0.048447613,1533,"28.9693249999999, -96.6705083333333",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.969325,-96.670508",
131210008904164.00,'AT JCT FM 710',29.04983333,-96.51555556,1972,3,0.04799056,1.514285714,0.666666667,0.048447613,1533,"29.0498333333333, -96.5155555555555",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.049833,-96.515556",
41880009005065.00,'7.2 MI W OF LP 335W',35.19121111,-102.0639139,1972,3,0.04799056,1.514285714,0.666666667,0.048447613,1533,"35.1912111111111, -102.063913888888",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.191211,-102.063914",
131210008904165.00,'AT JCT FM 710',29.04953056,-96.51555833,1972,3,0.04799056,1.514285714,0.666666667,0.048447613,1533,"29.0495305555555, -96.5155583333333",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.049531,-96.515558",
121020AA6898001,'0.4 MI N OF US 290',29.98141389,-95.70776111,1985,4,0.063470044,1.142857143,0.666666667,0.048358129,1539,"29.9814138888888, -95.7077611111111",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.981414,-95.707761",
111740B00255001,'0.2 MI S OF SH 21',31.59970833,-94.65455833,1985,4,0.063470044,1.142857143,0.666666667,0.048358129,1539,"31.5997083333333, -94.6545583333333",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.599708,-94.654558",
091610B06811001,'0.75 MI NW OF IH 35',31.54534444,-97.13883333,1985,4,0.063470044,1.142857143,0.666666667,0.048358129,1539,"31.5453444444444, -97.1388333333333",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.545344,-97.138833",
121020AA6898002,'0.4 MI N OF US 290',29.98140833,-95.70776389,1985,4,0.063470044,1.142857143,0.666666667,0.048358129,1539,"29.9814083333333, -95.7077638888888",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.981408,-95.707764",
142270B00932006,'0.1 MI SW OF AIRPORT BLVD',30.28595833,-97.7086,1921,1,0.016259801,2.971428571,1.0,0.048314839,1543,"30.2859583333333, -97.7086",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.285958,-97.708600",
82210000617022.00,'0.55 MI E  OF FM 126',32.46942222,-100.0033917,1921,1,0.016259801,2.971428571,1.0,0.048314839,1543,"32.4694222222222, -100.003391666666",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.469422,-100.003392",
130450002703005.00,'6.0 Mi SE of FM 949',29.59555278,-96.33969444,1921,1,0.016259801,2.971428571,1.0,0.048314839,1543,"29.5955527777777, -96.3396944444444",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.595553,-96.339694",
21270071201001.00,'8.2 MI NW OF FM 916',32.33461389,-97.31173056,1921,1,0.016259801,2.971428571,1.0,0.048314839,1543,"32.3346138888888, -97.3117305555555",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.334614,-97.311731",
161780010203009.00,'1.05 MI S OF FM 665',27.66123056,-97.75571389,1921,1,0.016259801,2.971428571,1.0,0.048314839,1543,"27.6612305555555, -97.7557138888888",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.661231,-97.755714",
162050037104056.00,'1.1 MI NE OF SH 188',28.04989444,-97.52005556,1921,1,0.016259801,2.971428571,1.0,0.048314839,1543,"28.0498944444444, -97.5200555555555",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.049894,-97.520056",
022200DD0961001,'0.20 MI E of IH 35W',32.55666944,-97.31465833,2014,3,0.04799056,1.0,1.0,0.04799056,1549,"32.5566694444444, -97.3146583333333",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.556669,-97.314658",
121700A04491010,'0.01 MI W OF IH69',30.09357222,-95.24042222,2010,3,0.04799056,1.0,1.0,0.04799056,1549,"30.0935722222222, -95.2404222222222",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.093572,-95.240422",
051520B00565001,'0.5 Mi W of MLK Jr Blvd',33.57238889,-101.8254722,1990,3,0.04799056,1.0,1.0,0.04799056,1549,"33.5723888888888, -101.825472222222",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.572389,-101.825472",
120850050004428.00,'0.85 MI SE OF FM 518',29.49166944,-95.10726667,2009,3,0.04799056,1.0,1.0,0.04799056,1549,"29.4916694444444, -95.1072666666666",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.491669,-95.107267",
040910AA0422003,'.89 Mi. South of FM 2375',35.42201944,-100.8159111,2019,3,0.04799056,1.0,1.0,0.04799056,1549,"35.4220194444444, -100.815911111111",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.422019,-100.815911",
121700067508228.00,'0.20 M NORTH OF SH 105',30.31759167,-95.47243611,2012,3,0.04799056,1.0,1.0,0.04799056,1549,"30.3175916666666, -95.4724361111111",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.317592,-95.472436",
161780C00221003,'0.47 MI W of US 77',27.76889444,-97.68475556,2020,3,0.04799056,1.0,1.0,0.04799056,1549,"27.7688944444444, -97.6847555555555",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.768894,-97.684756",
211090T00030001,'0.2 MI N. OF US 83',26.17378889,-97.97482778,2006,3,0.04799056,1.0,1.0,0.04799056,1549,"26.1737888888888, -97.9748277777777",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=26.173789,-97.974828",
120850050004470.00,'0.15 MI SE OF FM 518',29.50100278,-95.11260556,1998,3,0.04799056,1.0,1.0,0.04799056,1549,"29.5010027777777, -95.1126055555555",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.501003,-95.112606",
32430004401130.00,'0.4 MI E OF BROOK ST',33.89662222,-98.49438611,2007,3,0.04799056,1.0,1.0,0.04799056,1549,"33.8966222222222, -98.4943861111111",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.896622,-98.494386",
32430004309196.00,'1.40 MI N OF BUS 277',33.92697222,-98.51383889,2001,3,0.04799056,1.0,1.0,0.04799056,1549,"33.9269722222222, -98.5138388888888",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.926972,-98.513839",
141060C00010001,'0.13 MI S  OF CROMWELL ST',30.01558889,-97.87406111,2014,3,0.04799056,1.0,1.0,0.04799056,1549,"30.0155888888888, -97.8740611111111",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.015589,-97.874061",
141060B00985003,'0.14 MI NW OF IH 35 WFR',29.87067778,-97.942,2015,3,0.04799056,1.0,1.0,0.04799056,1549,"29.8706777777777, -97.942",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.870678,-97.942000",
141060C01307001,'0.2 Mi N of Fairway',30.02206944,-97.88618333,2013,3,0.04799056,1.0,1.0,0.04799056,1549,"30.0220694444444, -97.8861833333333",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.022069,-97.886183",
121020050201061.00,'2.30 MI E OF BW 8',29.71090278,-95.11483333,1992,3,0.04799056,1.0,1.0,0.04799056,1549,"29.7109027777777, -95.1148333333333",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.710903,-95.114833",
011130AA0572002,'0.8 Mi S of IH 30',33.10657778,-95.60028333,2001,3,0.04799056,1.0,1.0,0.04799056,1549,"33.1065777777777, -95.6002833333333",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.106578,-95.600283",
141060C05000001,'0.60 MI W  OF FM 1626',30.02799722,-97.88295278,2008,3,0.04799056,1.0,1.0,0.04799056,1549,"30.0279972222222, -97.8829527777777",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.027997,-97.882953",
120850C00725004,'0.31 MI W OF 14TH ST',29.40811667,-94.91960833,2006,3,0.04799056,1.0,1.0,0.04799056,1549,"29.4081166666666, -94.9196083333333",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.408117,-94.919608",
021270DD0634001,'0.20 MI SE of NE Wilshire',32.54577778,-97.32242778,2004,3,0.04799056,1.0,1.0,0.04799056,1549,"32.5457777777777, -97.3224277777777",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.545778,-97.322428",
32430004309195.00,'1.40 MI N OF BUS 277',33.92698333,-98.51405,2001,3,0.04799056,1.0,1.0,0.04799056,1549,"33.9269833333333, -98.51405",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.926983,-98.514050",
121020050201275.00,'AT SH 146 & SH 225 INTERC',29.68815278,-95.03800278,2002,3,0.04799056,1.0,1.0,0.04799056,1549,"29.6881527777777, -95.0380027777777",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.688153,-95.038003",
161780B04001001,'0.32 MI S  OF PR 22',27.66362778,-97.28540556,1994,3,0.04799056,1.0,1.0,0.04799056,1549,"27.6636277777777, -97.2854055555555",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.663628,-97.285406",
161260108701012.00,'2.9 MI S OF FM 534',27.97543889,-97.93807222,2003,3,0.04799056,1.0,1.0,0.04799056,1549,"27.9754388888888, -97.9380722222222",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.975439,-97.938072",
21270185301021.00,'4.3 MI SW OF US 67',32.26812778,-97.47576944,2022,3,0.04799056,1.0,1.0,0.04799056,1549,"32.2681277777777, -97.4757694444444",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.268128,-97.475769",
222330AA0195002,'0.30 MI SW OF SPUR 239',29.3577,-100.9193611,1990,3,0.04799056,1.0,1.0,0.04799056,1549,"29.3577, -100.919361111111",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.357700,-100.919361",
172390BC0000101,'0.15 MI W OF BLINN BLVD',30.16203889,-96.41218056,2019,3,0.04799056,1.0,1.0,0.04799056,1549,"30.1620388888888, -96.4121805555555",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.162039,-96.412181",
31690270602001.00,'1.4 MI N OF FM 2953',33.91912222,-97.61858889,1995,3,0.04799056,1.0,1.0,0.04799056,1549,"33.9191222222222, -97.6185888888888",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.919122,-97.618589",
21270025906090.00,'0.4 Mi. E. of SH 174',32.38065278,-97.38660556,2014,3,0.04799056,1.0,1.0,0.04799056,1549,"32.3806527777777, -97.3866055555555",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.380653,-97.386606",
10920009101343.00,'3.7 MI N OF US 82',33.72033333,-96.68329444,2010,3,0.04799056,1.0,1.0,0.04799056,1549,"33.7203333333333, -96.6832944444444",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.720333,-96.683294",
120200E00080001,'0.28 MI E OF S WALKER ST',29.15672778,-95.43553056,1996,3,0.04799056,1.0,1.0,0.04799056,1549,"29.1567277777777, -95.4355305555555",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.156728,-95.435531",
120200W00085001,'0.15 MI E OF FM 1128',29.47095,-95.35147222,2012,3,0.04799056,1.0,1.0,0.04799056,1549,"29.47095, -95.3514722222222",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.470950,-95.351472",
131580B00195001,'0.35 MI E OF SH 60',28.97965556,-95.96389444,1996,3,0.04799056,1.0,1.0,0.04799056,1549,"28.9796555555555, -95.9638944444444",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.979656,-95.963894",
022200M00365001,'0.20 MI N of E Broad St',32.56899722,-97.12306667,1999,3,0.04799056,1.0,1.0,0.04799056,1549,"32.5689972222222, -97.1230666666666",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.568997,-97.123067",
80300000611339.00,'0.50 MI S OF IH 20',32.40849722,-99.50765556,2007,3,0.04799056,1.0,1.0,0.04799056,1549,"32.4084972222222, -99.5076555555555",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.408497,-99.507656",
201240002813246.00,'0.4 MI N OF US 90',30.07518333,-94.13525,2002,3,0.04799056,1.0,1.0,0.04799056,1549,"30.0751833333333, -94.13525",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.075183,-94.135250",
230680AF7931001,'0.20 MI SE OF US 183',32.38943889,-98.97446944,2015,3,0.04799056,1.0,1.0,0.04799056,1549,"32.3894388888888, -98.9744694444444",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.389439,-98.974469",
021840B00295002,'0.5 MI N OF US 80-180',32.76575,-97.801925,2009,3,0.04799056,1.0,1.0,0.04799056,1549,"32.76575, -97.801925",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.765750,-97.801925",
091100B00010001,'0.07 MI N OF SH 171',32.00655,-97.12329167,1990,3,0.04799056,1.0,1.0,0.04799056,1549,"32.00655, -97.1232916666666",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.006550,-97.123292",
50960043905025.00,'0.1 MI S OF US 70',34.18283056,-101.7243306,1991,3,0.04799056,1.0,1.0,0.04799056,1549,"34.1828305555555, -101.724330555555",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=34.182831,-101.724331",
022200M00185001,'0.20 MI W of US 287',32.56632222,-97.12146111,1998,3,0.04799056,1.0,1.0,0.04799056,1549,"32.5663222222222, -97.1214611111111",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.566322,-97.121461",
022200M00140001,'0.2 MI E WALNUT CK RD',32.58423056,-97.12910556,1999,3,0.04799056,1.0,1.0,0.04799056,1549,"32.5842305555555, -97.1291055555555",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.584231,-97.129106",
250630C00030001,'0.05 MI E OF US 82',33.62175556,-100.8327917,2014,3,0.04799056,1.0,1.0,0.04799056,1549,"33.6217555555555, -100.832791666666",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.621756,-100.832792",
120800018801038.00,'1.05 MI N OF US 59',29.54726667,-95.80864167,1990,3,0.04799056,1.0,1.0,0.04799056,1549,"29.5472666666666, -95.8086416666666",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.547267,-95.808642",
091100B00160001,'0.02 MI NW OF SH 81',32.00403889,-97.13056667,1994,3,0.04799056,1.0,1.0,0.04799056,1549,"32.0040388888888, -97.1305666666666",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.004039,-97.130567",
082080B00570002,'0.30 MI E OF SH 350',32.71505,-100.9129111,1997,3,0.04799056,1.0,1.0,0.04799056,1549,"32.71505, -100.912911111111",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.715050,-100.912911",
250440003104009.00,'0.3 MI S OF FM 338',34.84533056,-100.2049278,2005,3,0.04799056,1.0,1.0,0.04799056,1549,"34.8453305555555, -100.204927777777",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=34.845331,-100.204928",
120850E00025020,'0.16 MI N OF SH 96',29.48909722,-95.10806944,2010,3,0.04799056,1.0,1.0,0.04799056,1549,"29.4890972222222, -95.1080694444444",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.489097,-95.108069",
120850D00130043,'0.65 MI S OF FM 1764',29.38056389,-95.08521944,1999,3,0.04799056,1.0,1.0,0.04799056,1549,"29.3805638888888, -95.0852194444444",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.380564,-95.085219",
120850D00114044,'0.70 MI S OF FM 1764',29.38045,-95.08095556,1999,3,0.04799056,1.0,1.0,0.04799056,1549,"29.38045, -95.0809555555555",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.380450,-95.080956",
120850C00725005,'25TH AVE AT 13TH/14TH ST',29.40813056,-94.91416111,2006,3,0.04799056,1.0,1.0,0.04799056,1549,"29.4081305555555, -94.9141611111111",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.408131,-94.914161",
11130008303149.00,'2.3 miles East of SH 19',33.10859444,-95.60001944,2011,3,0.04799056,1.0,1.0,0.04799056,1549,"33.1085944444444, -95.6000194444444",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.108594,-95.600019",
222330B00475001,'0.05 MI W OF SPUR 239',29.35965,-100.915525,1990,3,0.04799056,1.0,1.0,0.04799056,1549,"29.35965, -100.915525",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.359650,-100.915525",
120800C00245001,'0.65 MI S  OF FM 1640',29.54733056,-95.80536667,1990,3,0.04799056,1.0,1.0,0.04799056,1549,"29.5473305555555, -95.8053666666666",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.547331,-95.805367",
120800C00410001,'0.10 MI N  OF AIRPORT AVE',29.54383889,-95.79354722,2003,3,0.04799056,1.0,1.0,0.04799056,1549,"29.5438388888888, -95.7935472222222",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.543839,-95.793547",
10750072904026.00,'0.4 MI E OF SH 121',33.42963611,-96.34462222,1991,3,0.04799056,1.0,1.0,0.04799056,1549,"33.4296361111111, -96.3446222222222",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.429636,-96.344622",
082080B00565003,'0.1 Mile W of TX 350',32.71613611,-100.9200917,2022,3,0.04799056,1.0,1.0,0.04799056,1549,"32.7161361111111, -100.920091666666",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.716136,-100.920092",
90140001514695.00,'IH 35 AT BNSF RAILROAD',31.09765278,-97.36534444,2018,3,0.04799056,1.0,1.0,0.04799056,1549,"31.0976527777777, -97.3653444444444",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.097653,-97.365344",
132410008907235.00,'0.2 MI NE OF SH 71',29.17928333,-96.25772222,2022,3,0.04799056,1.0,1.0,0.04799056,1549,"29.1792833333333, -96.2577222222222",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.179283,-96.257722",
90140001514696.00,'0.42 MI. SOUTH OF SH 53',31.09751111,-97.36470556,2019,3,0.04799056,1.0,1.0,0.04799056,1549,"31.0975111111111, -97.3647055555555",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.097511,-97.364706",
180710D00410002,'0.15 MI E OF MIDLOTH PKY',32.45972778,-96.97571667,2009,3,0.04799056,1.0,1.0,0.04799056,1549,"32.4597277777777, -96.9757166666666",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.459728,-96.975717",
180710D00410003,'0.1 MI W OF MIDLOTH PKWY',32.461875,-96.98082222,2006,3,0.04799056,1.0,1.0,0.04799056,1549,"32.461875, -96.9808222222222",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.461875,-96.980822",
181300009505201.00,'0.45 MI E OF SH 34 S',32.73536944,-96.26894167,1992,3,0.04799056,1.0,1.0,0.04799056,1549,"32.7353694444444, -96.2689416666666",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.735369,-96.268942",
211090052801004.00,'0.20 MI N OF FM 495',26.23299167,-98.32282222,1992,3,0.04799056,1.0,1.0,0.04799056,1549,"26.2329916666666, -98.3228222222222",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=26.232992,-98.322822",
21270001901044.00,'0.2 MI W OF IH 35W',32.55056389,-97.32141111,1995,3,0.04799056,1.0,1.0,0.04799056,1549,"32.5505638888888, -97.3214111111111",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.550564,-97.321411",
21270001901043.00,'0.2 MI W OF IH 35W',32.55062778,-97.32150278,1995,3,0.04799056,1.0,1.0,0.04799056,1549,"32.5506277777777, -97.3215027777777",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.550628,-97.321503",
022490B00130001,'0.2 MI E OF SH 114',33.20941389,-97.75957222,2001,3,0.04799056,1.0,1.0,0.04799056,1549,"33.2094138888888, -97.7595722222222",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.209414,-97.759572",
201460351002311.00,'.50 MI E of US 69',30.06065,-94.98923889,2019,3,0.04799056,1.0,1.0,0.04799056,1549,"30.06065, -94.9892388888888",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.060650,-94.989239",
170210B00246002,'0.27 MI NW of BECK ST',30.66521389,-96.38771389,2022,3,0.04799056,1.0,1.0,0.04799056,1549,"30.6652138888888, -96.3877138888889",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.665214,-96.387714",
90140001514691.00,'0.26 MI N OF SH 53',31.10609167,-97.35832222,2016,3,0.04799056,1.0,1.0,0.04799056,1549,"31.1060916666666, -97.3583222222222",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.106092,-97.358322",
180710D00381001,'0.50 MI S OF US 287',32.46388056,-96.97873611,2002,3,0.04799056,1.0,1.0,0.04799056,1549,"32.4638805555555, -96.9787361111111",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.463881,-96.978736",
230680C00005001,'0.20 MI SE OF US 183',32.38942778,-98.97446389,2014,3,0.04799056,1.0,1.0,0.04799056,1549,"32.3894277777777, -98.9744638888888",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.389428,-98.974464",
21270025905068.00,'0.4 MI E OF SH 174',32.38061389,-97.38645833,1996,3,0.04799056,1.0,1.0,0.04799056,1549,"32.3806138888888, -97.3864583333333",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.380614,-97.386458",
022200M00665004,'0.30 MI S of US 287',32.57696111,-97.13277778,2005,3,0.04799056,1.0,1.0,0.04799056,1549,"32.5769611111111, -97.1327777777777",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.576961,-97.132778",
251000009702006.00,'1.46 MI  N OF US 287',34.31032778,-99.73893333,2005,3,0.04799056,1.0,1.0,0.04799056,1549,"34.3103277777777, -99.7389333333333",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=34.310328,-99.738933",
121020038912277.00,'SH146/SH225 INTERCHANGE',29.68708333,-95.03055833,1998,3,0.04799056,1.0,1.0,0.04799056,1549,"29.6870833333333, -95.0305583333333",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.687083,-95.030558",
140270B00185001,'0.10 MI E OF HILL DR',30.76317778,-98.21753611,1996,3,0.04799056,1.0,1.0,0.04799056,1549,"30.7631777777777, -98.2175361111111",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.763178,-98.217536",
141060153901009.00,'0.60 MI NW OF IH 35',30.01717222,-97.86924444,2006,3,0.04799056,1.0,1.0,0.04799056,1549,"30.0171722222222, -97.8692444444444",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.017172,-97.869244",
141060153901010.00,'0.60 MI NW OF IH 35',30.01729167,-97.86885278,2006,3,0.04799056,1.0,1.0,0.04799056,1549,"30.0172916666666, -97.8688527777777",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.017292,-97.868853",
141060B00366001,'0.25 MI NW OF IH 35 SB FR',29.86834167,-97.94624167,2016,3,0.04799056,1.0,1.0,0.04799056,1549,"29.8683416666666, -97.9462416666666",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.868342,-97.946242",
222330016103005.00,'1.10 MI SW OF SPUR 297',29.35985,-100.9146639,1996,3,0.04799056,1.0,1.0,0.04799056,1549,"29.35985, -100.914663888888",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.359850,-100.914664",
142460LN4136001,'100 W of Magan Ln',30.82350278,-97.61486111,2016,3,0.04799056,1.0,1.0,0.04799056,1549,"30.8235027777777, -97.6148611111111",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.823503,-97.614861",
142460T00183038,'0.28 M S OF SAN GABRL PKW',30.59366389,-97.84861667,2020,3,0.04799056,1.0,1.0,0.04799056,1549,"30.5936638888888, -97.8486166666666",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.593664,-97.848617",
90500165701001.00,'0.61 MI NW OF FM 116',31.13025,-97.91171944,2009,3,0.04799056,1.0,1.0,0.04799056,1549,"31.13025, -97.9117194444444",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.130250,-97.911719",
121020106204195.00,'1.80 MI N OF US 90',29.91109444,-95.06890556,2013,3,0.04799056,1.0,1.0,0.04799056,1549,"29.9110944444444, -95.0689055555555",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.911094,-95.068906",
121020106204196.00,'1.9 MI N OF US 90',29.91104167,-95.06859167,2012,3,0.04799056,1.0,1.0,0.04799056,1549,"29.9110416666666, -95.0685916666666",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.911042,-95.068592",
121020106204197.00,'1.8 MI N of US 90',29.90895833,-95.06741111,2012,3,0.04799056,1.0,1.0,0.04799056,1549,"29.9089583333333, -95.0674111111111",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.908958,-95.067411",
121020325601494.00,'0.18 MI SW OF US 290',29.87245,-95.56070833,2014,3,0.04799056,1.0,1.0,0.04799056,1549,"29.87245, -95.5607083333333",All Bridges,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.872450,-95.560708",
